itemLabel,areaLabel,partyLabel,startDate,endDate
Jérôme Lavou,Bangui VII,Indep.,2005-03-13,
Pierre Sélessoui,Bogangolo,MLPC,2005-03-13,
Thierry Yinifolo Vandenboss,Bayanga,PLD,2005-03-13,
Yvon Dokoula,Bozoum,MLPC,2005-03-13,
Barthélémy Boua,Koui,MLPC,2005-03-13,
Joseph Boykota Zoukétia,Paoua I,MLPC,2005-03-13,
Christophe Ndouba,Paoua II,MLPC,2005-03-13,
Luc-Apollinaire Dondon-Konambaye,Paoua III,MLPC,2005-03-13,
Maurice Saragba,Nanga-Boguila,Indep. KNK,2005-03-13,
Jean Paul Ngoupandé,Dékoa,PUN,2005-03-13,
Jean Michel Mandaba,Bamingui,MLPC,2005-03-13,
Justine Véronique Abatchou,Yalinga,PSD,2005-03-13,
André Ndjogo,Kembé,RDC,2005-03-13,
René Constant Ngbondo,Satéma,RDC,2005-03-13,
Mierille Kolingba,Ouango,RDC,2005-03-13,
Antoine Foy,Bambouti,,2005-03-13,
Rosalie Moussoukourou,Djémah,Indep.,2005-03-13,
Jean Baptiste Nouganga,Bangui I,PSD,2005-05-08,
Théophile Sonny Colé,Bangui II,Indep.,2005-05-08,
Abdel Karim Meckassoua,Bangui III,Indep.,2005-05-08,
Patrice Edouard Ngaïssona,Bangui IV,PDCA,2005-05-08,
Anne Marie Goumba,Bangui V-1,FPP,2005-05-08,
Alexandre Fernand Nguendet,Bangui V-2,RDC,2005-05-08,
Jean Marie Sakila,Bangui VI,MDD,2005-05-08,
Honorat Willibona Kocksis,Bangui VIII,Indep. KNK,2005-05-08,
Pierre Abraham Mbokani,Bimbo I,PLD,2005-05-08,
Monique Bozizé,Bimbo II,Indep. KNK,2005-05-08,
Norbert Karakombo,Bimbo III,Indep. KNK,2005-05-08,
Roger Fezokazoui,Bimbo IV,FND,2005-05-08,
Eric Sorongopé Zoumandji,Damara,MLPC,2005-05-08,
Jean Marie Bouguinza,Boali,PNCN,2005-05-08,
Pierre Mboua,Bossembélé,Indep. KNK,2005-05-08,
Thomas Nodié Yali,Yaloké,CSDC,2005-05-08,
Mamadou Gari,M'Baiki I,Indep. KNK,2005-05-08,
Jean Serge Bokassa,M'Baiki II,Indep.,2005-05-08,
Jean Marie Mokolé,M'Baiki III,Indep.,2005-05-08,
Roger Gbéda,Mongoumba,MDD,2005-05-08,
Ali Kassala,Boda,Indep. KNK,2005-05-08,
Fidèle Banalé,Boganda,PDCA,2005-05-08,
Thierry Kamach,Berbérati I,PNCN,2005-05-08,
Abraham Ngoto Boloum,Berbérati II,Indep. KNK,2005-05-08,
Frédéric Yvon Kangala,Berbérati III,PDCA,2005-05-08,
Idriss Salao,Gamboula,RDC,2005-05-08,
Ibrahim Aoudou Pacco,Carnot I,Indep. KNK,2005-05-08,
Célestin Nguewili,Carnot II,PLD,2005-05-08,
Ousman Ngbala Soundou,Amada Gaza,PDCA,2005-05-08,
Émile Gros Nakombo,Sosso Nakombo,RDC,2005-05-08,
Daniel Émery Dédé,Dédé Mokouba,Indep. KNK,2005-05-08,
Boniface Sombo,Gadzi,Indep.,2005-05-08,
Pélados Gilbert Ngbafio,Bouar I,PAD,2005-05-08,
André Bayéré,Bouar II,Indep. KNK,2005-05-08,
Al-Hadji Hibrahim Alim,Bouar III,Indep. KNK,2005-05-08,
André Zaïna,Baoro,,2005-05-08,
Charles Massi,Baboua,FODEM,2005-05-08,
Marc Issa,Abba,Indep. KNK,2005-05-08,
Aliou Babetel,Nola I,,2005-05-08,
Laurent Gomina Pampali,Nola II,UNADER,2005-05-08,
Edisca André Kongbo,Bambio,UNADER,2005-05-08,
Gilbert Dang Nam,Bocaranga I,MLPC,2005-05-08,
Jérôme Lassé,Bocaranga II,Indep.,2005-05-08,
Marie Agba Otikpo,Ngaoundaye I,MLPC,2005-05-08,
Joël Zibaya,Ngaoundaye II,,2005-05-08,
Ali Ouesse,Bossemptélé,PDCA,2005-05-08,
Cyriaque A. Gonda,Bossangoa I,PNCN,2005-05-08,2005-10
Noël Komokoïna,Bossangoa I,PSD,2005-11,2005-11-22
Joséphine Kéléfio,Bossangoa II,PNCN,2005-05-08,2005-12-31
Jean Benoît Gonda,Bossangoa III,PNCN,2005-05-08,
Jacques Patrice Mbollo Dilaboy,Nana Bakassa,PDCA,2005-05-08,
Béatrice Émilie Epayenée,Markounda,Indep.,2005-05-08,
Dogonendjé Nzafio,Bouca,Indep.,2005-05-08,
Judes Alex Kette,Batangafo,,2005-05-08,
Biré Migué,Kabo,PSD,2005-05-08,
Louis Yadbadja,Sibut,MDI,2005-05-08,
Fred Jacob Dieudonné Karoua,Mala,PDCA,2005-05-08,
Hélène Kaïne,Ndjoukou,Indep. KNK,2005-05-08,
Dominique Vidakoa,Kaga-Bandoro I,,2005-05-08,
Sylvestre Zama,Kaga-Bandoro II,Indep.,2005-05-08,
Pierre Marie Franck,Mbrés,Indep.,2005-05-08,
Toussaint Akondja,Bambari I,Indep.,2005-05-08,
Pierre Yokongo,Bambari III,Indep.,2005-05-08,
Samuel Shaba Kossi Nguérémbi,Bakala,MDI,2005-05-08,
Maurice Bangayassi,Grimari,MDI,2005-05-08,
Victorien Yama Davy,Kouango I,PUN,2005-05-08,
Joseph Lougbia,Kouango II,,2005-05-08,
Yvonne Ndjapou,Ippy,Indep.,2005-05-08,
Sallé Djibalbaye,Ndélé,Indep. KNK,2005-05-08,
Joseph Katékondji,Bria I,PSD,2005-05-08,2006-08
Abdoulaye Midjani,Bria I,PSD,2006-08,
Lamine Ouabanga,Bria II,,2005-05-08,
Ibrahim Fidèle Gonda,Ouadda,,2005-05-08,
Simon Pierre Goumba,Birao I,MUPS - KNK,2005-05-08,
Mahamat Abras,Birao II,,2005-05-08,
Moussa Grébaye,Ouadda Djallé,Indep.,2005-05-08,
Marguerite Pétro-Koni Zézé,Mobaye,RDC,2005-05-08,
Paul Fidèle Georges Abouka,Alindao I,ADP,2005-05-08,
Thomas Poundassé Bandéko,Alindao II,FPP,2005-05-08,
Etienne Banga,Mingala,PNCN,2005-05-08,
Michel Ndémazou,Zangba,Indep.,2005-05-08,
Odon Kondolas Kpékozoma,Bangassou I,Indep.,2005-05-08,
Joseph Nida,Bangassou II,Indep.,2005-05-08,
Cymossi Etienne Kezza Koyangbo,Gambo,ADP,2005-05-08,
David Dendou,Rafaï,PUN,2005-05-08,
Diarra Alima,Bakouma,,2005-05-08,
Auguste Agoudé,Obo,,2005-05-08,
Martin Dalou Wamboli,Zémio,Löndö,2005-05-08,
Moctar Samuel Mossambou,Boganangone,PDC,2005-06-19,
